,PVGU_VOID_RM_index,PVGU_VOID_RM_index,PVGU_VOID_RM_index,void_isolation_index,agn_count_1.5R,void_network_count_3R_dz0.05,TOPOCLASS_SCORE
,count,mean,median,mean,mean,mean,mean
TOPOCLASS_QUINTILE,,,,,,,
T4_VOID_ACOPLADO,114,-0.04872173420032386,-0.02735015649073925,0.917430982721547,13980.728070175439,33.12280701754386,-3.980974886364476
T3_ESTRUTURAL,113,-0.039493389156654124,-0.0446855724243282,1.287291439811496,4394.601769911505,12.053097345132743,-0.910716630168731
T2_MODERADO,114,0.040214460743568124,0.055457310128895446,1.6383755561438824,3102.815789473684,8.175438596491228,0.21311193997721037
T1_FORTE,113,0.09439970655132067,0.0940095968039569,2.169828524917429,1903.6194690265486,5.123893805309734,1.305683186568133
T5_ANOMALO,114,0.2623677995239658,0.26620567811463813,3.3387160789288974,1382.7456140350878,2.6228070175438596,3.376361008903647
