RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY,NN_DISTANCE,NN_STD,CONNECTIVITY,PERSISTENCE_INDEX,EMERGENT_GROUP,ESS
174.551518499447,-0.556112193932861,0.5860702,SDSS,174,-1,46,0.3630585420476272,0.1068895473876387,0.7336442046706007,0.6831386308950498,0,0.5073208166186042
175.028577407742,-0.46584794254476,0.07543427,SDSS,175,-1,18,0.3252701134466443,0.1833709297467924,0.7545631564868608,0.7097946582802304,0,0.5041672701062858
175.029903000684,-0.510983744685934,0.1244919,SDSS,175,-1,18,0.3318142719412015,0.1964630267160236,0.750855446640047,0.7110365861863984,0,0.5037419285396042
174.99109082299,-0.515240952635516,0.4701402,SDSS,174,-1,46,0.3908034827637522,0.0313710259429967,0.7190088408556741,0.6889880754019516,0,0.5096235247541363
175.103864717119,-0.50242091919463,0.09334737,SDSS,175,-1,18,0.3501226633412163,0.1866749669620065,0.7406734418673113,0.7147877582526032,0,0.50430202362891
177.574139450203,-0.539217778814291,0.54533,SDSS,177,-1,32,0.2962074513495558,0.0707001233360134,0.7714814468616444,0.6871306043039179,0,0.513069168518511
177.580267621532,-0.57363693296561,0.7646168,SDSS,177,-1,32,0.3470264021304834,0.0839070942973429,0.7423759463202654,0.6975467111060332,0,0.5148021678974655
175.14368475804,-0.110523910444692,0.4389208,SDSS,175,-1,18,0.2513434419600128,0.0660799536508124,0.7991411202296894,0.6945641673622205,0,0.5140926207296013
175.183217470346,-0.191655022805475,0.5911489,SDSS,175,-1,18,0.2286422978703133,0.1251099134580495,0.8139065387325228,0.6887905273050421,0,0.5067375008156174
175.186798925551,-0.0479866477414444,0.6633763,SDSS,175,-1,18,0.2411777685340654,0.1203859237106043,0.8056863612543459,0.6917952717427391,0,0.50856790155225
175.231546179511,-0.036573851000403,0.1181091,SDSS,175,-1,18,0.3055058550349603,0.1366696014338262,0.7659866067572871,0.7060156755398481,0,0.5192433485974738
175.238131123819,-0.0080784273840251,0.1176923,SDSS,175,-1,18,0.2981172653657728,0.1349585349176658,0.7703464291557883,0.7044534175258205,0,0.5197045678042815
175.323080704874,-0.0865022332180944,0.1185632,SDSS,175,-1,18,0.3221872784792857,0.124291076765405,0.7563225091305904,0.7095990426591587,0,0.5235899459804939
175.217411300408,-0.115889149024847,0.5886711,SDSS,175,-1,18,0.2087307139389996,0.1495152060381991,0.8273141308217526,0.6837652496447479,0,0.5052721942633629
175.236711887379,-0.104336899137271,0.5878783,SDSS,175,-1,18,0.2069084351481835,0.1452433618344875,0.8285632703173713,0.6833458055438969,0,0.5058399354081102
175.34026008987,-0.154721175732153,0.5843809,SDSS,175,-1,18,0.2225335401155304,0.1010692938643911,0.8179734683643111,0.687500361614795,0,0.509874201293806
175.349976964679,-0.0991856186963395,0.6631875,SDSS,175,-1,18,0.2350111678681693,0.0991901368130632,0.8097092771445646,0.6904998212409145,0,0.5102500842236313
175.636645039569,-0.0756967434376644,0.5585484,SDSS,175,-1,18,0.2531404370725987,0.1108307605488551,0.7979951571398112,0.6946448996491242,0,0.514979743564156
175.685172350136,-0.0066730380007809,0.4713747,SDSS,175,-1,18,0.251585789397813,0.0914958632269944,0.7989863806947978,0.6944308001609684,0,0.5169519021798955
175.694348423652,-0.0495760277765765,0.5989218,SDSS,175,-1,18,0.2611076746689568,0.1121717852460129,0.792953702595222,0.6964561551186135,0,0.5142030475987506
175.706809634993,-0.18349360888359,0.5319583,SDSS,175,-1,18,0.2944852246006429,0.1136119452993854,0.772507851766718,0.7038315605130109,0,0.5183680778290207
176.634434537444,-0.180452065705904,0.1056168,SDSS,176,-1,20,0.3050567666145651,0.1109333167753601,0.7662501935406918,0.703627635040766,0,0.5170181096488307
176.633371059059,-0.180842889706586,0.4402661,SDSS,176,-1,20,0.2709023663500857,0.1060797746933748,0.7868425037809219,0.6962247395038839,0,0.5154993533008673
176.683176983234,-0.0886604541124929,0.1379183,SDSS,176,-1,20,0.2837172853279613,0.1171454743794316,0.7789877190479072,0.6989799018642995,0,0.5173017198796487
176.666855282406,-0.110069837145746,0.2595916,SDSS,176,-1,20,0.2639345069270325,0.0836692670252418,0.7911802348297865,0.6948246067945033,0,0.5186251268582127
176.611722118155,-0.0765129797312525,0.5019565,SDSS,176,-1,20,0.2616059184379756,0.1153106554057878,0.7926405428076334,0.6940614385001371,0,0.5149860195715671
176.628171157106,-0.0331519811024368,0.6267342,SDSS,176,-1,20,0.2685277004843999,0.0965904431550329,0.7883154617893957,0.6957632938572409,0,0.514619137586785
176.771613704154,-0.0264661110222485,0.0609411,SDSS,176,-1,20,0.3214875709510339,0.1045427276856206,0.7567229703721926,0.7071169648201243,0,0.5211199693665514
176.729109745971,-0.13885699553019,0.5653433,SDSS,176,-1,20,0.2727133092542704,0.1357053102594099,0.7857229061161753,0.696408582164203,0,0.5114146819022155
176.736169926957,-0.109016275631755,0.6008347,SDSS,176,-1,20,0.2639505517972267,0.1203660875333336,0.7911701914114344,0.694554960890577,0,0.5113002826838057
