RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY,NN_DISTANCE,NN_STD,CONNECTIVITY,PERSISTENCE_INDEX,EMERGENT_GROUP
94.3742939802875,0.462508423001391,0.2051562,SDSS,94,0,2,2.446029910861491,1.134320854233509,0.2901890076020857,0.8903455634396332,-1
49.3978310458689,1.27356203995056,0.169056,SDSS,49,1,7,0.5053796009691062,0.29599667265414303,0.6642842771060788,0.7552340906989878,0
87.097556156882,1.0979898221082,0.624984,SDSS,87,1,4,0.4940208392052104,0.08845468740596193,0.6693347065573598,0.7586818397427542,0
101.042872578408,0.56180302911532,0.1288867,SDSS,101,0,1,3.181199758131788,1.9370042715463511,0.2391658035603667,0.9040426694795767,-1
121.445398493721,1.00625083642566,0.7584789,SDSS,121,1,17,0.20932527318666233,0.0337736775675897,0.8269073856076168,0.6860163284649547,0
121.061604737861,1.00643834558467,0.09642675,SDSS,121,1,17,0.29255126966948275,0.036833032937552725,0.7736637017545225,0.7052279996808614,0
86.1836304107512,1.31863812280928,0.05309878,SDSS,86,1,8,0.43980185111266923,0.23622714026108166,0.694540015507833,0.7435069630958383,0
86.1828180159515,1.29621595318584,0.1315074,SDSS,86,1,8,0.4208849068542212,0.22449956458796205,0.703786770607591,0.7402538757839159,0
81.5406956983117,1.3799669493689,0.1491567,SDSS,81,1,23,0.25438156126451106,0.08034694137566635,0.7972055958730171,0.6889459581984775,0
81.2979880223249,1.32844937226292,0.6226996,SDSS,81,1,23,0.39662917045053764,0.08215473906233209,0.7160096761242719,0.7182647854843078,0
81.0363589116682,1.31128269466073,0.6312224,SDSS,81,1,23,0.37547071885830935,0.05500248491390015,0.7270238372140967,0.714488081616627,0
81.065797775966,1.35053488044535,0.2184164,SDSS,81,1,23,0.25710963862156055,0.07912131318949289,0.7954755649606783,0.6895800644979098,0
80.8947471405676,1.40198922987804,0.1448618,SDSS,80,1,31,0.27238041574851635,0.08262408525730994,0.7859284751814729,0.6830650090099695,0
79.9527767357262,1.42776980749375,0.2145216,SDSS,79,1,8,0.19332703319222466,0.04132481190282297,0.837993250957315,0.6931354160053564,0
79.8815681633436,1.39122089067121,0.2994733,SDSS,79,1,8,0.22106844191912417,0.04999103177695764,0.8189549133120858,0.6999485416236879,0
79.7919012859807,1.36384920600672,0.08605768,SDSS,79,1,8,0.21134913635587496,0.0816586895453251,0.825525829001141,0.6973389540794146,0
79.9262780223189,1.36024873608446,0.08914367,SDSS,79,1,8,0.16324225967658143,0.03142385530026641,0.8596661543899136,0.6853797397889201,0
79.7859738912545,1.38142666080569,0.08649507,SDSS,79,1,8,0.2187866608737909,0.08437344434912478,0.8204881396413256,0.6991386194613964,0
101.562650408381,-0.855922861663239,0.2268779,SDSS,101,-1,3,3.167173712903494,2.444372504223554,0.2399707976904198,0.8974891176351383,-1
101.36245723531,-0.849582253568925,0.4073607,SDSS,101,-1,3,3.024012228963566,2.384776476630923,0.2485081911039725,0.8948487566340418,-1
101.284845126515,-0.765784903759715,0.2589196,SDSS,101,-1,3,2.9506373113453264,2.3702271390064777,0.25312371680595147,0.8932897290922229,-1
100.374515198103,-0.738091437377951,0.08317085,SDSS,100,-1,1,2.672899081958928,1.7982981671952452,0.27226449126030805,0.8931185786148682,-1
72.3045401620105,0.972535428757481,0.7615644,SDSS,72,0,3,1.1543445702677273,0.25025208878359856,0.4641782998880847,0.8328326197610657,-1
72.8281399277077,0.538872139294755,0.1372496,SDSS,72,0,3,0.8642800994294179,0.29842059088652023,0.5364000829628875,0.8063835646485117,-1
72.7110765924604,0.597619835932347,0.619381,SDSS,72,0,3,0.8337025048327182,0.2183472777323335,0.5453447314188111,0.803748571824416,-1
73.4101876050536,0.0773150076627638,0.6687062,SDSS,73,0,2,0.8953123777566806,0.5163020602251245,0.5276175113590587,0.8091760120355285,-1
71.5725856815549,0.0505640836931667,0.7546362,SDSS,71,0,2,1.0875467826684013,0.4503735333847715,0.47903118066736333,0.8272189387116682,-1
71.6585946542449,-0.281837813294633,0.7753124,SDSS,71,-1,1,1.115253180556972,0.4180693827969679,0.4727566464344886,0.8309684333564256,-1
71.7252115468675,-1.15289729411323,0.574661,SDSS,71,-2,1,1.5967620578843003,0.3824125514695057,0.3850949673897906,0.86290202902128,-1
90.3118866019404,1.1476750533537,0.5518352,SDSS,90,1,2,1.1238846334033619,0.36428377675647894,0.47083536660726094,0.8308207969070049,-1
