RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
247.894202314399,-0.943236948920565,0.1117936,SDSS,247,-1,22
247.936803682602,-0.925387821163956,0.112282,SDSS,247,-1,22
249.003519918674,-0.939629451929441,0.1121691,SDSS,249,-1,34
249.044696263172,-0.895234005121167,0.107073,SDSS,249,-1,34
249.236067774198,-0.894839976991202,0.3826653,SDSS,249,-1,34
249.176909122395,-0.933519483386456,0.1074734,SDSS,249,-1,34
249.67273357163,-0.851543344654808,0.08781031,SDSS,249,-1,34
249.639517608554,-0.896538927407366,0.05917491,SDSS,249,-1,34
249.641525389358,-0.913741155872463,0.1092862,SDSS,249,-1,34
249.692211980955,-0.891026543234362,0.08782733,SDSS,249,-1,34
248.89452046122,-0.452329487143864,0.07018682,SDSS,248,-1,18
249.491457329508,-0.444784971026914,0.1176553,SDSS,249,-1,34
249.494127692025,-0.462037994697027,0.1169431,SDSS,249,-1,34
249.49655124089,-0.498468271539199,0.05894065,SDSS,249,-1,34
249.521220807299,-0.466013586934058,0.4225605,SDSS,249,-1,34
249.628744816503,-0.478048086871586,0.09800664,SDSS,249,-1,34
244.07134985343,0.416026822516872,0.1322336,SDSS,244,0,24
244.203593139587,0.380995017040516,0.169668,SDSS,244,0,24
244.662560262452,0.367732202774194,0.1070465,SDSS,244,0,24
244.772653092942,0.401626014781938,0.1539195,SDSS,244,0,24
247.714426695328,0.358623079703779,0.1137488,SDSS,247,0,23
239.685918168819,-0.0347266042415629,0.4521006,SDSS,239,-1,31
239.720851112198,-0.0712059264298891,0.3396456,SDSS,239,-1,31
240.03646637729,-0.0216662724866609,0.136777,SDSS,240,-1,24
240.17097844657,-0.0772683335397786,0.1559238,SDSS,240,-1,24
240.151450267365,-0.0770494668874204,0.1577772,SDSS,240,-1,24
247.997225554971,0.356590585647082,0.07103826,SDSS,247,0,23
247.915191055331,0.403329549507722,0.3302296,SDSS,247,0,23
248.094757709415,0.385102689133533,0.3953508,SDSS,248,0,18
248.432552213654,0.405318733980341,0.1501549,SDSS,248,0,18
249.949772832429,0.416293686935008,0.08762164,SDSS,249,0,12
243.201061282854,-0.0709807196067669,0.3551938,SDSS,243,-1,26
243.175671691097,-0.0847887149958855,0.3573023,SDSS,243,-1,26
243.542249855132,-0.0378317084620344,0.05827271,SDSS,243,-1,26
246.253016206147,-0.0947106105451591,0.1218784,SDSS,246,-1,25
246.60554322576,-0.0634477312370687,0.05398665,SDSS,246,-1,25
246.620136574404,-0.0202438930820251,0.08438914,SDSS,246,-1,25
249.803781418085,-0.0709958814816998,0.1487542,SDSS,249,-1,34
244.31423166423,0.779550420046871,0.05587652,SDSS,244,0,24
244.357721383443,0.758055684234468,0.08418034,SDSS,244,0,24
244.528459337179,0.758773470621823,0.1192615,SDSS,244,0,24
244.746844560247,0.787076541973039,0.08456031,SDSS,244,0,24
244.99511228798,0.776329877887107,0.074072,SDSS,244,0,24
247.354642376098,0.833848143141387,0.1695639,SDSS,247,0,23
248.235666526591,0.779437041294071,0.07374188,SDSS,248,0,18
248.704636869059,0.803722970716421,0.09088155,SDSS,248,0,18
248.728854432051,0.756608599798307,0.09085388,SDSS,248,0,18
190.129914894962,-1.01184806143071,0.07183648,SDSS,190,-2,17
190.139583890995,-1.01428330325842,0.3657254,SDSS,190,-2,17
190.181652968646,-1.00837776122744,0.7930852,SDSS,190,-2,17
190.527994759384,-1.03512788539555,0.6401647,SDSS,190,-2,17
190.913794736701,-1.01417286545909,0.7179149,SDSS,190,-2,17
190.976672527321,-1.02526588707694,0.5549842,SDSS,190,-2,17
191.766759834959,-1.04116411286161,0.6010398,SDSS,191,-2,2
191.970038070833,-1.04490556381184,0.2070788,SDSS,191,-2,2
238.908154264187,-0.591490380267027,0.3007238,SDSS,238,-1,26
238.987770082002,-0.6023347421219,0.7628108,SDSS,238,-1,26
239.005498864961,-0.616466898667586,0.7529704,SDSS,239,-1,31
238.943432674139,-0.603825512398141,0.3300673,SDSS,238,-1,26
