NETWORK_CLASS,count,mean,median,std,mean_isolation,mean_agn
A_ISOLATED,18,0.07954747899810645,0.06959677789327486,0.2842219895595935,5.414942096816042,902.1666666666666
B_LOW,115,0.08782129047720899,0.1002593610443051,0.2493436487498657,3.149922891294596,1421.0521739130436
C_MODERATE,236,0.06837322181542826,0.0668359324063945,0.20970459894471818,1.6848236014980886,2547.6822033898306
D_CONNECTED,199,0.03757351990941331,0.0427251882282098,0.16431834546382787,1.031666704762842,10230.869346733669
