idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index,agn_count_0.5R,agn_z_median_0.5R,agn_count_1.0R,agn_z_median_1.0R,agn_count_1.5R,agn_z_median_1.5R,agn_count_2.0R,agn_z_median_2.0R,agn_count_3.0R,agn_z_median_3.0R,agn_inner_count_0.5_1.0R,agn_shell_count_0.5_1.0R,agn_inner_density_0.5_1.0R,agn_shell_density_0.5_1.0R,agn_shell_contrast_0.5_1.0R,agn_inner_count_1.0_1.5R,agn_shell_count_1.0_1.5R,agn_inner_density_1.0_1.5R,agn_shell_density_1.0_1.5R,agn_shell_contrast_1.0_1.5R,agn_inner_count_1.0_2.0R,agn_shell_count_1.0_2.0R,agn_inner_density_1.0_2.0R,agn_shell_density_1.0_2.0R,agn_shell_contrast_1.0_2.0R,agn_inner_count_1.5_3.0R,agn_shell_count_1.5_3.0R,agn_inner_density_1.5_3.0R,agn_shell_density_1.5_3.0R,agn_shell_contrast_1.5_3.0R,agn_large_count_2.0R,agn_large_density_2.0R,agn_large_count_3.0R,agn_large_density_3.0R,agn_large_count_5.0R,agn_large_density_5.0R,agn_large_count_8.0R,agn_large_density_8.0R,agn_weight_near_0.5R,agn_weight_far_0.5R,agn_weight_zmatch005_0.5R,agn_weight_zmatch010_0.5R,agn_weight_near_1.0R,agn_weight_far_1.0R,agn_weight_zmatch005_1.0R,agn_weight_zmatch010_1.0R,agn_weight_near_1.5R,agn_weight_far_1.5R,agn_weight_zmatch005_1.5R,agn_weight_zmatch010_1.5R,agn_weight_near_2.0R,agn_weight_far_2.0R,agn_weight_zmatch005_2.0R,agn_weight_zmatch010_2.0R,agn_weight_near_3.0R,agn_weight_far_3.0R,agn_weight_zmatch005_3.0R,agn_weight_zmatch010_3.0R,void_nn1_angle_deg,void_nn5_mean_angle_deg,void_nn10_mean_angle_deg,void_isolation_index,void_network_count_3R_dz0.02,void_network_weight_3R_dz0.02,void_network_count_3R_dz0.05,void_network_weight_3R_dz0.05,void_network_count_3R_dz0.1,void_network_weight_3R_dz0.1,PVGU_residual,nearest_neighbor_deg,MRI,TRME_DOMAIN,GPS
4,4407,237.406,16.985,0.463,63.467,1.8350412982967617,4,12,16,19.325,52.17916666666667,21.55,13.625,5.337359999999997,17.420550000000002,0.4594720587378295,0.530944625407143,0.4844874570720892,94,1.8695,413,1.84,1072,1.8185,2173,1.788,5009,1.795,94,319,35.542362086077844,40.20572165056324,0.0615640599001656,413,659,39.03988175944189,49.83492896750065,0.1214635184003391,413,1760,39.03988175944189,55.456167793880326,0.1737245748582842,1072,3937,45.03713020836342,55.13407389002699,0.1007968684468045,2173,51.35209628527072,5009,52.60983796961109,12981,49.08248959993368,30817,45.51649652620765,40.54859461462157,163.691,2.134459195999649,4.493110047893558,180.48812789522844,704.8610000000001,14.516436183195893,26.60542440094396,467.98158836012817,1828.293,33.273202361234304,63.71881512020469,942.8681410387268,3664.05,64.62581340466429,122.8716401154431,2158.3040557245604,8487.62,140.13644054775543,263.91501239280205,3.979415651957716,5.544849436386,6.978623817357726,3.021648309239452,3,0.2740038268800511,3,0.6921341614922688,3,1.200212638703298,0.4247931216568327,3.989049134818981,0.6483808787949684,TRME_CORE,0.3259865496694759
33,4395,238.258,20.882,0.595,91.328,2.054782435942348,3,11,14,10.633333333333333,57.60909090909092,11.8,21.1,1.1860799999999958,29.20722,0.6883658969804518,0.9219512195121652,0.7701207598665514,165,1.503,590,1.6190000000000002,1407,1.7,2673,1.76,6280,1.77,165,425,49.75793785041877,42.72146179076359,-0.0760869565217383,590,817,44.48058080567738,49.27543663489958,0.051141846252814,590,2083,44.48058080567738,52.346355829506216,0.0812354009862437,1407,4873,47.14438959968972,54.4265838709519,0.0716956234880133,2673,50.37991207354901,6280,52.60603530313636,16466,49.65540634212094,46187,54.40743076461391,74.10979731177858,255.859,3.2002536354491458,9.00136712039864,267.844513110467,943.855,17.652064782032177,39.39724869622832,613.825309341511,2344.821,36.77998677784744,80.75974116336216,1147.6253989487973,4536.2880000000005,70.8492892875922,145.69237169600126,2703.17067856486,10633.855,170.9122282753575,348.56996749249845,3.7586416158363294,4.8894642494432965,6.86176071164557,2.3795532626297486,4,0.1042013770532112,4,0.7494113193408055,4,1.656171058330077,0.7104264244512949,3.989049134818981,0.6762945285436741,TRME_CORE,0.2426782132240787
53,17574,207.941,28.323,0.454,26.026,0.7674152690556838,3,5,8,10.166666666666666,18.04,8.299999999999999,12.6,2.965199999999997,20.60814,0.2791302292602123,0.7484276729559435,0.4433843345537182,26,2.1225,105,1.666,232,1.7,458,1.8075,997,1.7,26,79,56.21116607490525,56.93182205022455,0.0063694267515922,105,127,56.75165805639472,54.9139853193305,-0.0164569215876088,105,353,56.75165805639472,63.59788982192806,0.0568862275449097,232,765,55.73072875802571,61.25575790214033,0.0472279260780283,458,61.88633188054472,997,59.87450061611168,2670,57.72454362307578,8117,68.54958458984464,11.244921596909217,46.177,0.3180065558722648,0.7792009751155855,47.26201297907866,163.21,4.6641935088832005,7.355759587770453,104.20415255360116,377.221,10.05073402684073,16.480889288937135,205.20194870007032,758.642,18.12960498645229,30.748207062061184,439.6705154185024,1624.967,32.12829621624942,60.77468975337342,2.524666932392829,4.037004032329306,5.514401218049484,5.260520861529952,0,0.0,0,0.0,0,0.0,0.3836899991384617,2.5408321471517934,0.6938221295356917,TRME_CORE,0.5145432567726413
74,2629,163.369,-0.928,0.488,39.254,1.0768196189896455,3,6,9,12.15,17.616666666666664,13.25,16.15,11.26776,6.30105,0.1836506159014495,-0.2827004219409122,0.0204277526566228,103,1.283,397,1.363,866,1.362,1419,1.386,2618,1.4,103,294,113.09969253381102,107.60941619721828,-0.0248756218905471,397,469,108.98198528136643,102.9975840744803,-0.0282310282310282,397,1022,108.98198528136643,93.51770693329682,-0.0763669227293263,866,1752,105.65731794420748,71.25158623489281,-0.1944827586206885,1419,97.38377652031424,2618,79.85301916222147,5233,57.46123213877991,10289,44.13238533375234,52.11108924625067,143.266,2.7957704130856857,6.855797836058302,193.2986636197936,561.8230000000001,10.24973684331882,24.458856593892847,421.8285837674538,1212.986,30.52684361056206,60.43600125916856,682.4757872639634,1999.604,47.94113663295808,96.1224800761081,1252.0124237898526,3720.106,92.17603183725318,183.0956919483725,7.986818000040401,10.394022397403411,11.46744456711593,9.652519525179365,0,0.0,0,0.0,0,0.0,-0.0392665827586336,7.988291244064649,0.8493270461126491,TRME_CORE,0.8718495841107538
105,276,118.041,47.108,0.489,55.279,1.5133179460770971,4,14,18,8.024999999999999,13.642857142857144,7.85,11.25,8.8956,8.673210000000001,0.2592714686006145,-0.0126582278481004,0.1640960748435642,200,1.6110000000000002,790,1.582,1761,1.56,3174,1.544,6477,1.541,200,590,111.19358938425766,109.34036289452004,-0.0084033613445378,790,971,109.80366951695444,107.96897529211418,-0.0084248149093694,790,2384,109.80366951695444,110.4522987883626,0.0029448885149347,1761,4716,108.78439494759874,97.1090680622517,-0.0567056705670563,3174,110.29014147051058,6477,100.02789978358844,15431,85.791413889424,35277,76.61281743571206,83.98500504475788,322.121,4.206977127631613,9.28914642725564,338.8730269022734,1238.575,20.406144165249053,39.96246793103662,760.3475336993522,2735.007,48.043568624592965,90.1519987659369,1374.245440427188,4897.472,100.41016457737892,177.19108335038084,2801.9164145370114,9986.96,200.15186088248487,357.1700859900528,6.719143840806968,10.06258865016366,11.254056445557648,6.6493552635398165,0,0.0,0,0.0,0,0.0,0.1044017394283077,8.972370478307287,0.7935151366180161,TRME_CORE,0.6157769519712782
108,1364,173.77,1.587,0.497,73.25,1.9730137128064087,5,12,17,8.879999999999999,19.88333333333333,11.3,9.9,10.22994,18.08772,0.3825472244755922,0.2774869109947546,0.345776114757299,161,1.311,673,1.3605,1556,1.49,2852,1.5,6516,1.548,161,512,52.65938555045837,55.82112919634511,0.0291457286432158,673,883,55.03069328487343,57.761785641061785,0.0242134261273013,673,2179,55.03069328487343,59.39171900333789,0.0381133873272983,1556,4960,56.54796681608919,60.08524323217702,0.0303282093892809,2852,58.30146257372177,6516,59.200924128155066,16505,53.98404711244197,34422,43.97907049247569,78.16360338446233,226.24599999999995,7.447865300136779,12.878173557169422,316.5247733527212,960.036,23.74361799665717,46.29730589359606,718.7540685214886,2337.175,55.34846024618923,105.09760906436068,1320.345097699779,4289.6810000000005,95.84670171005584,188.97263881645387,2985.941646507172,9987.061,216.7018155365625,418.07717520968674,4.622946006916791,5.986474045013354,7.34806378697577,3.034177616786645,2,0.0116853573752028,2,0.1772037566660936,2,0.5032063302626889,0.2860817793420426,4.626545255371438,0.6350992640478215,TRME_CORE,0.2815105813912361
134,20222,213.085,62.581,0.461,51.93,1.5079823575903484,3,7,10,22.2,18.257142857142856,28.4,14.5,1.4826,11.564279999999998,-0.0974576271186416,0.7727272727272135,0.2071070878274076,106,1.937,437,1.832,997,1.702,1853,1.6715,4586,1.604,106,331,59.35037436397769,61.77664752980069,0.0200308166409859,437,560,61.17007923834494,62.709829516655695,0.0124293785310734,437,1416,61.17007923834494,66.06928466933367,0.0385038503850382,997,3589,62.025496059628686,74.42644779605729,0.0908814589665646,1853,64.84448331158649,4586,71.32620986195015,12645,70.80051734268848,36543,79.92485002884865,47.47368580422935,177.69400000000002,1.6114729783489024,3.6615410643221313,193.1338820704005,719.319,9.041806434498843,21.00191335243468,439.4922043020514,1607.4299999999998,28.88539591440177,58.95365660496636,804.7928519906128,2983.07,52.73822351856054,104.19791889748166,1972.2016111553205,7368.485000000001,118.07616275080493,234.13732048588224,4.272532496704574,6.467206856757431,7.556900177449032,4.28864888518145,1,0.033373269960326,1,0.2566607769535559,1,0.5066169923655895,0.1474127524121511,4.919808634489767,0.6581570238187174,TRME_CORE,0.4417116905511657
140,141,125.875,51.482,0.497,61.465,1.6555807216060876,5,10,15,11.82,13.959999999999996,12.7,9.8,4.003019999999999,16.975769999999997,0.0830100853374675,0.6183745583038575,0.270387650875704,242,1.5085,1008,1.5085,2326,1.522,4078,1.51,9078,1.528,242,766,112.41512904964436,118.60880007166332,0.0268096514745306,1008,1318,117.0603823161586,122.44887610531508,0.0224980605120245,1008,3070,117.0603823161586,118.84106273498904,0.0075484082704298,2326,6752,120.05398997680108,116.16574094631136,-0.0164603058994901,4078,118.39589263028142,9078,117.1378032039338,22050,102.42783452663872,47387,85.98617833605852,104.60156145552536,373.516,5.510702386519003,11.471146291524269,437.0421535612456,1528.904,25.469668187456087,48.7836477483488,1002.2884184520816,3572.241,62.33877112755303,115.8912145066993,1767.3269431230135,6241.458,102.1496288500006,195.1783753945041,3905.317223387354,14009.129,220.31301044034203,421.1810462868291,4.239676538643118,5.784881901033793,6.747949517168688,3.494170852278561,2,0.0334559940258828,2,0.2799445173284531,2,0.6592070981224738,0.2106933154604475,4.8741622869986605,0.6386640663245685,TRME_CORE,0.2058846312025881
168,12591,243.297,26.857,0.561,57.503,1.3721655294037567,4,8,12,10.4,12.9375,9.9,12.05,6.004530000000001,16.679250000000003,0.1087305838243125,0.4705882352940969,0.235380761838737,76,1.7595,247,1.8175,639,1.81,1146,1.7425000000000002,2777,1.7,76,171,51.39379652474067,38.5453473935555,-0.1428571428571413,247,392,41.75745967635179,53.016758520258826,0.1188012843382081,247,899,41.75745967635179,50.66120951287485,0.0963414634146331,639,2138,48.012625700744586,53.54772756817523,0.0545006165228108,1146,48.435272053744086,2777,52.16395210131758,9500,64.24224565592583,26797,70.78533950829953,32.71272306867321,127.514,0.9460836986053146,3.360131522890645,109.074976148541,412.72100000000006,5.352881744980984,13.6374618697901,281.1434613251407,1068.685,18.379584429629183,38.6661847257606,512.976830696438,1860.898,31.873597200082507,67.01629821264939,1224.8949491287797,4530.726000000001,73.76283011967436,147.6929099354026,3.6839899791687154,6.064509327720164,7.121491973032694,4.419663078368496,1,0.5220457767610186,1,0.7710515858035678,1,0.8780954309205622,0.1756864264234805,3.874054336221962,0.6505504940461995,TRME_CORE,0.460548244255607
171,2235,147.461,-0.633,0.495,42.408,1.146889180397808,3,6,9,21.066666666666663,15.15,23.0,15.9,10.3782,12.08319,-0.1633686148182191,0.0759075907590725,-0.079621942866167,37,1.613,201,1.5575,451,1.501,810,1.527,2337,1.608,37,164,35.81532787781411,52.91634028794158,0.1927272727272706,201,250,48.64108718540971,48.39909172677584,-0.0024937655860348,201,609,48.64108718540971,49.12507810267747,0.0049504950495049,451,1886,48.506645263946446,67.61532370125869,0.1645569620253151,810,49.00408037336053,2337,62.83815409193063,7922,76.68352093190366,14990,56.679873826903886,17.154605265995663,60.269000000000005,0.7857180388337891,2.2225047604593864,93.44537970875594,315.71900000000005,7.464491252082658,16.05079955403678,205.43104750212527,689.331,19.0033783782794,34.98523665512356,373.2220539207636,1241.595,28.895414326274512,54.90346560165693,1024.3088688577195,3765.904000000001,67.42143164407044,126.9280196059189,4.655573986729314,6.360471719187396,7.599992478660866,5.545846824516793,0,0.0,0,0.0,0,0.0,-0.1393162782814234,4.655872528323769,0.645695254214486,TRME_CORE,0.5790694891929415
