idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index,agn_count_0.5R,agn_z_median_0.5R,agn_count_1.0R,agn_z_median_1.0R,agn_count_1.5R,agn_z_median_1.5R,agn_count_2.0R,agn_z_median_2.0R,agn_count_3.0R,agn_z_median_3.0R,agn_inner_count_0.5_1.0R,agn_shell_count_0.5_1.0R,agn_inner_density_0.5_1.0R,agn_shell_density_0.5_1.0R,agn_shell_contrast_0.5_1.0R,agn_inner_count_1.0_1.5R,agn_shell_count_1.0_1.5R,agn_inner_density_1.0_1.5R,agn_shell_density_1.0_1.5R,agn_shell_contrast_1.0_1.5R,agn_inner_count_1.0_2.0R,agn_shell_count_1.0_2.0R,agn_inner_density_1.0_2.0R,agn_shell_density_1.0_2.0R,agn_shell_contrast_1.0_2.0R,agn_inner_count_1.5_3.0R,agn_shell_count_1.5_3.0R,agn_inner_density_1.5_3.0R,agn_shell_density_1.5_3.0R,agn_shell_contrast_1.5_3.0R,agn_large_count_2.0R,agn_large_density_2.0R,agn_large_count_3.0R,agn_large_density_3.0R,agn_large_count_5.0R,agn_large_density_5.0R,agn_large_count_8.0R,agn_large_density_8.0R,agn_weight_near_0.5R,agn_weight_far_0.5R,agn_weight_zmatch005_0.5R,agn_weight_zmatch010_0.5R,agn_weight_near_1.0R,agn_weight_far_1.0R,agn_weight_zmatch005_1.0R,agn_weight_zmatch010_1.0R,agn_weight_near_1.5R,agn_weight_far_1.5R,agn_weight_zmatch005_1.5R,agn_weight_zmatch010_1.5R,agn_weight_near_2.0R,agn_weight_far_2.0R,agn_weight_zmatch005_2.0R,agn_weight_zmatch010_2.0R,agn_weight_near_3.0R,agn_weight_far_3.0R,agn_weight_zmatch005_3.0R,agn_weight_zmatch010_3.0R,void_nn1_angle_deg,void_nn5_mean_angle_deg,void_nn10_mean_angle_deg,void_isolation_index,void_network_count_3R_dz0.02,void_network_weight_3R_dz0.02,void_network_count_3R_dz0.05,void_network_weight_3R_dz0.05,void_network_count_3R_dz0.1,void_network_weight_3R_dz0.1,PVGU_residual,EGII,cluster,nearest_neighbor_deg
4,4407,237.406,16.985,0.463,63.467,1.8350412982967617,4,12,16,19.325,52.17916666666667,21.55,13.625,5.337359999999997,17.420550000000002,0.4594720587378295,0.530944625407143,0.4844874570720892,94,1.8695,413,1.84,1072,1.8185,2173,1.788,5009,1.795,94,319,35.542362086077844,40.20572165056324,0.0615640599001656,413,659,39.03988175944189,49.83492896750065,0.1214635184003391,413,1760,39.03988175944189,55.456167793880326,0.1737245748582842,1072,3937,45.03713020836342,55.13407389002699,0.1007968684468045,2173,51.35209628527072,5009,52.60983796961109,12981,49.08248959993368,30817,45.51649652620765,40.54859461462157,163.691,2.134459195999649,4.493110047893558,180.48812789522844,704.8610000000001,14.516436183195893,26.60542440094396,467.98158836012817,1828.293,33.273202361234304,63.71881512020469,942.8681410387268,3664.05,64.62581340466429,122.8716401154431,2158.3040557245604,8487.62,140.13644054775543,263.91501239280205,3.979415651957716,5.544849436386,6.978623817357726,3.0216483092394517,3,0.2740038268800511,3,0.6921341614922688,3,1.200212638703298,0.4050659146240549,3.6795670164474683,0,3.989049134818976
22,17290,144.126,28.605,0.572,73.406,1.7179653253616274,3,8,11,3.133333333333334,6.925,3.6000000000000014,6.1000000000000005,2.372160000000002,12.009059999999998,0.3769676884838066,0.6701030927834584,0.4795650799886847,282,1.608,1056,1.5870000000000002,2369,1.571,4293,1.573,9167,1.59,282,774,121.655133318221,111.30150495071284,-0.0444444444444442,1056,1313,113.88991204258988,113.28595038781852,-0.0026585643752375,1056,3237,113.88991204258988,116.37046883897204,0.0107728337236533,2369,6798,113.55437778993912,108.617230929507,-0.0222222222222221,4293,115.7503296398765,9167,109.85151764461502,23381,100.86591035862855,57749,97.3163549145881,118.40343589162802,451.361,5.313174276499,11.503207516930448,442.5458158785357,1707.61,25.969543247132066,48.81473788596866,996.4838025670572,3783.2,62.173484198601344,115.76101852290172,1814.992367079408,6833.360999999999,109.97707541381482,208.7803366832186,3852.092722690551,14740.318,224.11601372414117,430.5693100376911,3.625843165899974,4.628580667754522,5.340474538205269,2.694222403340721,3,0.0226694594269824,3,0.3250788565689572,3,0.8337390296180971,0.4142417237512108,3.3491313964334126,-1,16.115218397527222
33,4395,238.258,20.882,0.595,91.328,2.054782435942348,3,11,14,10.633333333333333,57.60909090909092,11.8,21.1,1.1860799999999958,29.20722,0.6883658969804518,0.9219512195121652,0.7701207598665514,165,1.503,590,1.6190000000000002,1407,1.7,2673,1.76,6280,1.77,165,425,49.75793785041877,42.72146179076359,-0.0760869565217383,590,817,44.48058080567738,49.27543663489958,0.051141846252814,590,2083,44.48058080567738,52.346355829506216,0.0812354009862437,1407,4873,47.14438959968972,54.4265838709519,0.0716956234880133,2673,50.37991207354901,6280,52.60603530313636,16466,49.65540634212094,46187,54.40743076461391,74.10979731177858,255.859,3.2002536354491458,9.00136712039864,267.844513110467,943.855,17.652064782032177,39.39724869622832,613.825309341511,2344.821,36.77998677784744,80.75974116336216,1147.6253989487973,4536.2880000000005,70.8492892875922,145.69237169600126,2703.17067856486,10633.855,170.9122282753575,348.56996749249845,3.7586416158363303,4.8894642494432965,6.86176071164557,2.3795532626297486,4,0.1042013770532112,4,0.7494113193408055,4,1.656171058330077,0.6955332548207969,4.547078390577186,0,3.989049134818976
51,825,116.284,33.865,0.533,61.25,1.5383591797339569,3,9,12,3.533333333333333,8.044444444444444,3.6999999999999993,5.599999999999998,2.5204199999999988,7.264740000000002,0.3896353166986228,0.4848484848484356,0.4229599255510572,240,1.6235,911,1.589,2022,1.564,3515,1.5595,7182,1.568,240,671,129.12367127965922,120.33608809534908,-0.0352264557872032,911,1111,122.5329838914266,119.54699899308454,-0.0123347038559836,911,2604,122.5329838914266,116.74931944869188,-0.0241708825182685,2022,5160,120.87410339234768,102.8207012041731,-0.0807055050774982,3515,118.19523555937556,7182,107.33405175121676,17252,92.81839903819504,38784,81.50931749528488,105.24712691979973,378.809,5.9428051016886245,11.789489995989197,388.926689487666,1452.043,16.915186987130507,35.359191346385614,865.9024331013679,3187.6400000000003,45.55265804608365,91.97432770175791,1503.74346384258,5491.654,85.55029681483063,167.18808346450055,3052.312839812548,11281.305,167.96854293941692,324.86314765479386,1.2448483145001148,5.308179619879786,7.890857639326576,3.4505463287152023,2,0.0051132349327373,2,0.1823438423467025,2,0.6031415662392434,0.3548200971226092,3.6819991456372785,1,7.526565019980895
53,17574,207.941,28.323,0.454,26.026,0.7674152690556838,3,5,8,10.166666666666666,18.04,8.299999999999999,12.6,2.965199999999997,20.60814,0.2791302292602123,0.7484276729559435,0.4433843345537182,26,2.1225,105,1.666,232,1.7,458,1.8075,997,1.7,26,79,56.21116607490525,56.93182205022455,0.0063694267515922,105,127,56.75165805639472,54.9139853193305,-0.0164569215876088,105,353,56.75165805639472,63.59788982192806,0.0568862275449097,232,765,55.73072875802571,61.25575790214033,0.0472279260780283,458,61.88633188054472,997,59.87450061611168,2670,57.72454362307578,8117,68.54958458984464,11.244921596909217,46.177,0.3180065558722648,0.7792009751155855,47.26201297907866,163.21,4.6641935088832005,7.355759587770453,104.20415255360116,377.221,10.05073402684073,16.480889288937135,205.20194870007032,758.642,18.12960498645229,30.748207062061184,439.6705154185024,1624.967,32.12829621624942,60.77468975337342,2.524666932392829,4.037004032329306,5.514401218049484,5.260520861529952,0,0.0,0,0.0,0,0.0,0.3367927441805427,5.167234528837728,-1,13.588086141911237
74,2629,163.369,-0.928,0.488,39.254,1.0768196189896455,3,6,9,12.15,17.616666666666664,13.25,16.15,11.26776,6.30105,0.1836506159014495,-0.2827004219409122,0.0204277526566228,103,1.283,397,1.363,866,1.362,1419,1.386,2618,1.4,103,294,113.09969253381102,107.60941619721828,-0.0248756218905471,397,469,108.98198528136643,102.9975840744803,-0.0282310282310282,397,1022,108.98198528136643,93.51770693329682,-0.0763669227293263,866,1752,105.65731794420748,71.25158623489281,-0.1944827586206885,1419,97.38377652031424,2618,79.85301916222147,5233,57.46123213877991,10289,44.13238533375234,52.11108924625067,143.266,2.7957704130856857,6.855797836058302,193.29866361979356,561.8230000000001,10.24973684331882,24.458856593892847,421.8285837674538,1212.986,30.52684361056206,60.43600125916856,682.4757872639634,1999.604,47.94113663295808,96.1224800761081,1252.0124237898526,3720.106,92.17603183725318,183.09569194837255,7.986818000040401,10.394022397403411,11.46744456711593,9.652519525179365,0,0.0,0,0.0,0,0.0,-0.062786392150847,6.240333622916153,-1,17.220209522534855
105,276,118.041,47.108,0.489,55.279,1.5133179460770971,4,14,18,8.024999999999999,13.642857142857144,7.85,11.25,8.8956,8.673210000000001,0.2592714686006145,-0.0126582278481004,0.1640960748435642,200,1.6110000000000002,790,1.582,1761,1.56,3174,1.544,6477,1.541,200,590,111.19358938425766,109.34036289452004,-0.0084033613445378,790,971,109.80366951695444,107.96897529211418,-0.0084248149093694,790,2384,109.80366951695444,110.4522987883626,0.0029448885149347,1761,4716,108.78439494759874,97.1090680622517,-0.0567056705670563,3174,110.29014147051058,6477,100.02789978358844,15431,85.791413889424,35277,76.61281743571206,83.98500504475788,322.121,4.206977127631613,9.28914642725564,338.8730269022734,1238.575,20.406144165249053,39.96246793103662,760.3475336993522,2735.007,48.043568624592965,90.1519987659369,1374.245440427188,4897.472,100.41016457737892,177.19108335038084,2801.9164145370114,9986.96,200.15186088248487,357.1700859900528,6.719143840806968,10.06258865016366,11.254056445557648,6.6493552635398165,0,0.0,0,0.0,0,0.0,0.09349873291275801,4.791392196909915,-1,13.359045549738942
115,9662,197.892,38.623,0.46,60.32,1.7554253455044315,4,7,11,4.075,15.157142857142857,4.5,7.6,3.78063,18.38424,0.5762302692664509,0.6588628762541509,0.605151681712146,344,1.575,1232,1.532,2832,1.5425,4941,1.565,11128,1.57,344,888,142.1359157962358,122.3029973130401,-0.0749999999999997,1232,1600,127.26122693383904,132.21945655463796,0.019108280254777,1232,3709,127.26122693383904,127.7088448857167,0.0017555705604321,2832,8296,130.01579894539398,126.95516337699958,-0.0119104335397808,4941,127.59694039774728,11128,127.72032226909818,30722,126.93894200848707,73969,119.38648659533708,143.16482857078395,552.585,6.981494106623954,12.621966093337225,530.3967817296,1910.856,23.17031877606008,46.96006931209586,1203.079260979741,4485.822,48.95484816384664,100.1021126242615,2082.0781171439708,7887.993,90.56793233131668,178.39709502716462,4676.0037362623725,17786.233,203.81396751882176,407.2508497798659,1.0602641185788826,4.832592576208385,6.514839241059994,2.7529467935402048,2,0.2923087523435582,2,0.9153703755762138,2,1.3502073789388525,0.5430030714425277,4.0135188811879425,2,1.0616534274423073
134,20222,213.085,62.581,0.461,51.93,1.5079823575903484,3,7,10,22.2,18.257142857142856,28.4,14.5,1.4826,11.564279999999998,-0.0974576271186416,0.7727272727272135,0.2071070878274076,106,1.937,437,1.832,997,1.702,1853,1.6715,4586,1.604,106,331,59.35037436397769,61.77664752980069,0.0200308166409859,437,560,61.17007923834494,62.709829516655695,0.0124293785310734,437,1416,61.17007923834494,66.06928466933367,0.0385038503850382,997,3589,62.025496059628686,74.42644779605729,0.0908814589665646,1853,64.84448331158649,4586,71.32620986195015,12645,70.80051734268848,36543,79.92485002884865,47.47368580422935,177.69400000000002,1.6114729783489024,3.6615410643221313,193.1338820704005,719.319,9.041806434498843,21.001913352434677,439.4922043020514,1607.4299999999998,28.88539591440177,58.95365660496636,804.7928519906128,2983.07,52.73822351856054,104.19791889748166,1972.2016111553205,7368.485000000001,118.07616275080493,234.13732048588224,4.272532496704574,6.467206856757431,7.556900177449032,4.28864888518145,1,0.033373269960326,1,0.2566607769535559,1,0.5066169923655895,0.1263963977899194,3.3296917824385717,-1,25.217295751130802
168,12591,243.297,26.857,0.561,57.503,1.3721655294037567,4,8,12,10.4,12.9375,9.9,12.05,6.004530000000001,16.679250000000003,0.1087305838243125,0.4705882352940969,0.235380761838737,76,1.7595,247,1.8175,639,1.81,1146,1.7425000000000002,2777,1.7,76,171,51.39379652474067,38.5453473935555,-0.1428571428571413,247,392,41.75745967635179,53.016758520258826,0.1188012843382081,247,899,41.75745967635179,50.66120951287485,0.0963414634146331,639,2138,48.012625700744586,53.54772756817523,0.0545006165228108,1146,48.435272053744086,2777,52.16395210131758,9500,64.24224565592583,26797,70.78533950829953,32.71272306867321,127.514,0.9460836986053146,3.360131522890645,109.074976148541,412.72100000000006,5.352881744980984,13.6374618697901,281.1434613251407,1068.685,18.379584429629183,38.6661847257606,512.976830696438,1860.898,31.873597200082507,67.01629821264939,1224.8949491287797,4530.726000000001,73.76283011967436,147.6929099354026,3.6839899791687154,6.064509327720164,7.121491973032694,4.419663078368496,1,0.5220457767610186,1,0.7710515858035678,1,0.8780954309205622,0.1467657745377247,3.5603047932726044,0,7.479981283399039
