idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index,agn_count_0.5R,agn_z_median_0.5R,agn_count_1.0R,agn_z_median_1.0R,agn_count_1.5R,agn_z_median_1.5R,agn_count_2.0R,agn_z_median_2.0R,agn_count_3.0R,agn_z_median_3.0R,agn_inner_count_0.5_1.0R,agn_shell_count_0.5_1.0R,agn_inner_density_0.5_1.0R,agn_shell_density_0.5_1.0R,agn_shell_contrast_0.5_1.0R,agn_inner_count_1.0_1.5R,agn_shell_count_1.0_1.5R,agn_inner_density_1.0_1.5R,agn_shell_density_1.0_1.5R,agn_shell_contrast_1.0_1.5R,agn_inner_count_1.0_2.0R,agn_shell_count_1.0_2.0R,agn_inner_density_1.0_2.0R,agn_shell_density_1.0_2.0R,agn_shell_contrast_1.0_2.0R,agn_inner_count_1.5_3.0R,agn_shell_count_1.5_3.0R,agn_inner_density_1.5_3.0R,agn_shell_density_1.5_3.0R,agn_shell_contrast_1.5_3.0R,agn_large_count_2.0R,agn_large_density_2.0R,agn_large_count_3.0R,agn_large_density_3.0R,agn_large_count_5.0R,agn_large_density_5.0R,agn_large_count_8.0R,agn_large_density_8.0R,agn_weight_near_0.5R,agn_weight_far_0.5R,agn_weight_zmatch005_0.5R,agn_weight_zmatch010_0.5R,agn_weight_near_1.0R,agn_weight_far_1.0R,agn_weight_zmatch005_1.0R,agn_weight_zmatch010_1.0R,agn_weight_near_1.5R,agn_weight_far_1.5R,agn_weight_zmatch005_1.5R,agn_weight_zmatch010_1.5R,agn_weight_near_2.0R,agn_weight_far_2.0R,agn_weight_zmatch005_2.0R,agn_weight_zmatch010_2.0R,agn_weight_near_3.0R,agn_weight_far_3.0R,agn_weight_zmatch005_3.0R,agn_weight_zmatch010_3.0R,void_nn1_angle_deg,void_nn5_mean_angle_deg,void_nn10_mean_angle_deg,void_isolation_index,void_network_count_3R_dz0.02,void_network_weight_3R_dz0.02,void_network_count_3R_dz0.05,void_network_weight_3R_dz0.05,void_network_count_3R_dz0.1,void_network_weight_3R_dz0.1
899,7758,125.73,5.239,0.26,28.667,1.4760047729165449,3,10,13,10.233333333333334,14.029999999999998,6.4,3.8499999999999996,7.857780000000001,5.708009999999999,0.15647753812336201,-0.15846994535517972,0.046245918905872416,53,2.21,252,2.172,602,2.1559999999999997,1168,2.0,2683,1.8,53,199,30.97493933845552,38.76737690787829,0.11173184357541731,252,350,36.8192675155226,40.91029723946956,0.05263157894736781,252,916,36.8192675155226,44.61170508494537,0.09569377990430507,602,2081,39.09206180660424,45.04461828324664,0.07074864934396628,1168,42.66359569258968,2683,43.55647916408604,7206,42.114228843945384,15491,35.36503429333833,18.947404992312986,111.71000000000002,0.06681557821842536,0.44907514329755094,105.12971060901391,437.50199999999995,6.416942284485542,14.19535013745245,248.78408429661005,1066.926,12.582742032555547,28.619298531969356,490.054842066711,2019.399,25.18688387170282,55.491450474456244,1153.7050688045006,4494.274,67.028017680734,136.8590696423096,2.7631015058422737,7.941945516204413,10.002616022258811,5.380704494949542,1,2.376218973847943e-06,1,0.005628006414404065,1,0.07502004008532698
900,12062,141.818,12.303,0.313,90.239,3.859480044997937,13,61,74,16.161538461538463,23.314754098360652,12.7,22.5,20.7564,25.35246,0.18120282257935239,0.09967845659163774,0.15266929448365227,540,1.903,2271,1.947,5111,1.923,8971,1.877,22928,1.699,540,1731,46.15792518043177,49.32059783168357,0.0331244404655323,2271,2840,48.52992966887062,48.55129907867639,0.00022011886418675077,2271,6700,48.52992966887062,47.725015232853835,-0.008362317768075087,5111,17817,48.54180156320716,56.40574437172516,0.07493212669683186,8971,47.92624384185803,22928,54.43975866959566,72415,61.89863244335124,169916,56.734447446167856,226.12264103617144,944.913,7.577972501007216,21.402217084250495,959.5481441086981,3974.219,40.72696810156721,98.40060222013129,2157.354014090552,8863.951000000001,99.23331082681798,231.16266750885626,3814.8355285218126,15439.274,181.61394371903478,415.9596199366417,9936.210159615166,37912.591,525.7347351353463,1126.0684523160458,0.9681762253887582,2.464935369294794,4.099510295819366,0.6386703236071462,34,3.9430484411646862,34,9.254138212371451,34,14.691066637402864
901,4281,123.624,26.43,0.254,40.749,2.1476430563126345,7,22,29,19.24285714285714,13.936363636363637,12.4,10.4,26.242020000000004,15.641429999999998,-0.1599342414278955,-0.2530973451327374,-0.19254132772459015,369,1.52,1543,1.5585,3474,1.578,6088,1.573,13489,1.575,369,1174,101.86201908694441,108.02710967305579,0.029373081981586956,1543,1931,106.48583702652795,106.61005900102427,0.0005829393095409983,1543,4545,106.48583702652795,104.55349520103036,-0.009156311314584638,3474,10015,106.55484923458145,102.39366868972685,-0.01991486030239263,6088,105.03658065740474,13489,103.4339638259405,36515,100.79923108292074,72614,78.30081993118418,159.42659393613525,550.012,5.392655903383371,10.711365640094026,660.9593203952072,2395.343,22.150558328343386,45.10244887156051,1474.8688865673691,5459.731,41.848625264653165,88.97936636476115,2588.6286249934456,9559.806,75.85887013510528,160.27000397026038,5733.251111976151,21262.394,158.91514883881976,354.9781582045125,0.3158245562127015,2.2731658674800608,4.312386281138271,1.0584467753137163,8,0.3180098162334871,8,1.221637874600486,8,2.3643684989307223
902,13679,148.631,20.221,0.231,54.928,3.183176130896332,9,33,42,14.555555555555555,9.406060606060606,11.5,6.0,16.16034,9.34038,-0.21490599443553607,-0.2674418604651059,-0.2332935475458855,328,2.177,1523,1.8725,3409,1.817,6390,1.768,16260,1.7075,328,1195,41.21569458609762,50.05361283575879,0.09683340982101772,1523,1886,47.8441332733435,47.39804877401226,-0.004683686258988039,1523,4867,47.8441332733435,50.96463047523808,0.03158117846545108,3409,12851,47.59630855149281,59.80836620663285,0.11370136060317082,6390,50.18450617476444,16260,56.75535179284784,55958,70.31548285514789,159135,78.11141813498767,136.9569092797234,594.092,5.958867543729408,14.112664396802927,656.2687001700845,2610.4440000000004,43.19961176776803,83.49907621406314,1465.5376183143462,5799.035,88.12526789019212,175.58741378650606,2746.5537335635076,10770.68,164.94219704484672,322.626240775038,6944.304948532845,27144.978,349.6041259650041,702.7192159260219,2.942248242210499,4.124004295029643,5.303382217781142,1.2955627101498441,22,1.917857694177525,22,3.738184883254184,22,6.6592991207863985
903,13743,216.364,14.359,0.285,110.835,5.2060810971737,28,119,147,16.139285714285712,12.547899159663862,12.9,10.55,20.385749999999998,15.937949999999999,-0.12519132045901837,-0.12244897959183335,-0.1242315011555036,1450,1.8065,5138,1.775,10285,1.79,17946,1.835,45853,1.762,1450,3688,68.11711768009316,57.750788506708865,-0.0823587957203278,5138,5147,60.342370800054944,48.35845582061235,-0.11024676952331458,5138,12808,60.342370800054944,50.14046225555363,-0.09233930975834377,10285,35568,53.68464025592017,61.884792890052466,0.07095433810577605,17946,52.69093939167896,45853,59.83475473151939,128011,60.13614035411313,306859,56.3102117839324,605.6762823768186,2497.75,24.341748660491042,54.506038055258756,2205.4653417979075,8727.499,101.50538471601077,225.1882863208619,4483.0203533094855,17308.734,217.1153183998697,485.27490899464794,7767.605316077596,30482.695000000003,379.3996015326032,849.4729348477497,19820.58063676287,76813.15000000001,1065.8298523220458,2240.1799793328473,1.2385640279443295,3.6781409003805465,4.984302516744471,0.7065085679085262,46,5.720064026749034,46,12.259025453622934,46,19.64093575637373
904,12064,150.95,16.709,0.399,73.555,2.4678466388428846,5,22,27,12.459999999999999,16.650000000000002,12.7,16.15,13.936439999999997,21.12705,0.14393679148058602,0.2050739957716644,0.16533481298246344,208,1.8355000000000001,886,1.775,1996,1.7759999999999998,3588,1.808,8266,1.867,208,678,43.484764112397855,47.24786869904767,0.041474654377879755,886,1110,46.30709255238522,46.41162323534771,0.0011273957158962214,886,2702,46.30709255238522,47.07365089411018,0.008208955223880477,1996,6270,46.36516515403105,48.54869497591427,0.023005384238864182,3588,46.88201130867894,8266,48.00281252044347,25056,52.38241584616542,86180,70.37854888834224,90.72401885332465,357.861,3.270005696285888,9.438432480596257,393.1421818082866,1480.636,22.334601176081186,47.40933082560382,876.1759934875735,3344.484,46.03201697447755,99.79305703925135,1555.5839991804794,6047.799999999999,81.32850166887533,175.6784977128783,3540.0802875018016,14172.532000000001,197.6367830548456,405.78845157358126,1.7076656089049458,3.3580119905605073,4.667746351259451,1.3607052957446495,13,1.056739024436878,13,2.4950865758845664,13,4.807686410219229
905,13177,202.153,15.377,0.225,49.781,2.9618288680589315,8,31,39,24.518749999999997,11.875806451612902,23.0,10.1,8.339625,15.715560000000002,-0.3473855647944419,0.30662557781200583,-0.1184816648821852,353,1.9795,1383,1.866,3255,1.82,5957,1.8715000000000002,12431,1.904,353,1030,51.23478292870661,49.83175299014901,-0.013882240306366554,1383,1872,50.18251047478841,54.340800930616865,0.039783378462819895,1383,4574,50.18251047478841,55.32292188760718,0.048721770033245,3255,9176,52.49267183913756,49.326447188522906,-0.031096563011456378,5957,54.03781903440249,12431,50.11800335117657,40836,59.26979024579782,116442,66.01762342626212,150.26669388315054,602.566,10.693895185790378,19.8137315520207,599.7293182604677,2351.609,41.11278471674744,79.75263482238555,1390.676160752664,5585.341,84.03694140950691,164.93270557852446,2521.7017143937064,10305.234,148.54191026545652,292.41222052243955,5293.956494146545,21431.648,322.92912721043336,637.7173094093092,1.4226711262613405,3.6796896893987694,5.236145694610535,1.242370796327964,14,0.287198084317869,14,1.78359748129717,14,3.9612124451514363
906,11662,171.606,7.872,0.377,96.663,3.432399126820866,6,41,47,9.625,25.48170731707317,7.6,18.8,15.530235,25.055939999999996,0.4516717325227834,0.2347031963470261,0.3757327448612684,412,2.1020000000000003,1768,2.0,3852,1.963,6989,1.864,17105,1.752,412,1356,44.52580387625759,48.84869745647677,0.046296296296295766,1768,2084,47.76797406142198,45.04455110588389,-0.029343269678621074,1768,5221,47.76797406142198,47.02047371317574,-0.007885985748218522,3852,13253,46.25496130834526,53.0475079802267,0.068402595832157,6989,47.207348800237305,17105,51.34937131225634,47104,50.90639480066111,112024,47.29178031547596,170.99232025916862,725.893,6.359426005369072,15.57092883785025,745.1794593323203,3086.857,35.47021951524342,80.05270976911538,1656.2827085563454,6641.972,86.3925284328939,189.96292969440105,3042.881567972187,11753.008000000002,165.43660938235396,361.16038404969737,7538.382434864772,28279.364,420.05579630806363,909.325614465817,1.2137184915209571,3.792832883931151,5.039917537039363,1.1050092788722443,15,1.4635024674506558,15,3.570357320557192,15,6.205526423281093
907,14091,209.218,23.976,0.331,51.506,2.0830931611943546,8,23,31,13.7875,13.347826086956522,8.049999999999999,12.6,14.38122,10.822980000000001,-0.01620300827174528,-0.14117647058822969,-0.05994372008251482,363,1.86,1123,1.886,2094,1.8695,3242,1.8965,6855,1.85,363,760,106.51220056879461,74.33358350071984,-0.17793401838831702,1123,971,82.37823776773853,56.982560194104444,-0.18222970839035557,1123,2119,82.37823776773853,51.81344192040307,-0.22776967930028982,2094,4761,68.26952800460847,51.740086410369464,-0.1377343113284422,3242,59.45464088223694,6855,55.87244680892922,20077,58.91034299778758,65604,75.19398250382233,144.58269337452774,660.315,3.780068955433115,7.485160083157004,452.13088942591526,2043.835,13.002324952065482,27.99905399693389,876.9835220313821,3651.9500000000003,38.007145326373724,80.14240743431434,1370.0180086213259,5611.291,62.34310339527927,136.56658687962306,2949.039309957299,11608.466999999999,142.2018894714228,318.59775827500516,1.9747412912737474,3.4728707268660863,4.647865297322818,1.6671701446483682,8,1.3051244995218803,8,2.635076213795748,8,3.9989836968542365
908,16422,158.47,50.565,0.315,77.48,3.292743655743672,13,48,61,10.96923076923077,9.149999999999999,12.100000000000001,7.700000000000001,12.602099999999995,8.67321,-0.09042248136111201,-0.1846689895470295,-0.12340875922618313,1095,1.518,4276,1.538,9727,1.547,17207,1.547,39637,1.553,1095,3181,128.59035476978204,124.51930548635514,-0.016084132384781923,4276,5451,125.53706780721187,128.02667102284605,0.009818451278251322,4276,12931,125.53706780721187,126.5450439519065,0.00399860243021849,9727,29910,126.92018070478642,130.0909017813016,0.012336904097070587,17207,126.29304991573285,39637,129.2982215121728,102819,120.74458161711615,222184,101.92180145608323,463.14922650845256,1720.9569999999999,11.11090106554726,27.261791024140436,1805.5799428080861,6742.3099999999995,42.498452367220956,105.64443718748878,4107.4887415502635,15362.032,109.27589990374807,256.88326457386887,7302.334378409454,26998.068000000003,207.5772782583189,480.7741946962901,16825.53948267403,62300.693,516.7025363055051,1148.425311579132,1.3117942103686717,2.4522101587147653,3.8850632189936682,0.7447315719328854,20,1.9441033296229633,20,5.625301685020263,20,9.443084644820033
