void_id,r_norm,abs_RM_res,RM_res
4407,1.1914198749436153,2.5500000000000007,-2.5500000000000007
4407,1.1483408614516495,12.149999999999999,12.149999999999999
4407,1.177304907044797,1.75,1.75
4407,0.9525816822271368,12.95,12.95
4407,1.1439202197070455,21.25,21.25
4407,0.6775171105027439,7.550000000000001,7.550000000000001
4407,0.9230590922421748,23.75,23.75
4407,1.0807195421903673,47.25,47.25
4407,1.0263046055357443,13.55,13.55
4407,1.078753081574846,24.85,24.85
4407,0.45607621083506256,7.15,-7.15
4407,0.4566812776098499,23.25,23.25
4407,1.2451126391639702,13.7,-13.7
4407,0.14939029142163288,19.85,19.85
4407,0.6687595976270632,11.35,-11.35
4407,0.6994196565425491,36.0,-36.0
4407,0.8710235915966864,451.0,-451.0
4407,0.4542019987204889,27.049999999999997,27.049999999999997
4407,0.7251938701062375,5.75,5.75
4407,0.6654558229365141,1.8000000000000007,1.8000000000000007
4407,0.8567861649125899,1.3999999999999986,-1.3999999999999986
4407,0.7334893595220925,21.15,21.15
20571,0.25902818621879886,20.700000000000003,-20.700000000000003
20571,0.899861183070429,35.8,-35.8
20571,0.7507986427821198,68.9,-68.9
20571,0.9823621662661083,11.0,-11.0
20571,0.520119387769268,19.4,-19.4
20571,0.19793923314231734,60.7,-60.7
20571,1.1788467981935917,36.9,-36.9
20571,0.6064635334624096,20.5,-20.5
20571,0.6363351559877554,6.9,-6.9
20571,0.9186519894677035,3.8999999999999995,-3.8999999999999995
20571,1.2152314683878604,51.3,-51.3
20571,1.045376908574911,20.6,-20.6
20571,0.48889851121389105,1.8000000000000007,-1.8000000000000007
20571,0.740632839748902,4.800000000000001,-4.800000000000001
20571,1.2270871194148936,26.1,-26.1
20571,1.1498461520367538,20.3,20.3
20571,1.121054856179234,23.5,-23.5
20571,1.2344997760700054,3.0999999999999996,-3.0999999999999996
20571,1.21379706178702,19.9,-19.9
2571,0.9925499980883769,20.200000000000003,20.200000000000003
2571,0.5437900585973584,6.3,-6.3
2571,0.6394226649830593,23.9,-23.9
2571,1.0102022195417977,5.2,-5.2
2571,1.0901601346840721,13.0,-13.0
2571,1.208157528502922,21.299999999999997,-21.299999999999997
2571,0.9464941729983345,3.9,3.9
2571,1.2160788353602658,6.5,-6.5
2571,1.0029031504964354,22.599999999999998,-22.599999999999998
2571,1.052024591451937,21.9,-21.9
2571,0.5359875366089882,16.099999999999998,-16.099999999999998
2571,0.8303593871455744,5.2,-5.2
2571,0.14412710852326244,20.5,-20.5
2571,0.33361006581074526,13.700000000000001,-13.700000000000001
2571,0.29617804642805223,32.7,32.7
2571,0.3978166249803166,5.1,-5.1
2571,0.45178148497741255,5.7,-5.7
2571,1.027948906527999,11.5,-11.5
2571,0.7776650417422609,24.5,-24.5
2571,1.1478159342916374,27.400000000000002,27.400000000000002
2571,1.2322190531980344,33.5,33.5
2571,0.7968361838970653,14.1,14.1
2571,1.11733702516952,20.900000000000002,20.900000000000002
12454,1.1299550844092252,5.149999999999999,5.149999999999999
12454,0.823510950533315,23.450000000000003,23.450000000000003
12454,1.2197498096125758,19.65,19.65
12454,1.2151777992758617,9.95,-9.95
12454,1.2361169413830908,3.6499999999999986,3.6499999999999986
12454,0.052500861513780875,19.45,-19.45
12454,0.8175608522954286,7.649999999999999,7.649999999999999
12454,0.47178549677192855,4.050000000000001,-4.050000000000001
12454,0.6412904725334864,14.45,-14.45
12454,0.8928726342616146,5.149999999999999,5.149999999999999
12454,1.18704510321012,17.85,17.85
12454,0.47981434273698265,26.75,-26.75
12454,1.101842982216941,56.85,-56.85
12454,1.1054112231272757,21.55,-21.55
12454,1.0626608380967633,42.45,-42.45
12454,1.038892739433584,3.4499999999999993,-3.4499999999999993
12454,1.0609035096509927,3.4499999999999993,3.4499999999999993
12454,1.0678866405995344,1.4499999999999993,1.4499999999999993
12454,1.0753332628776913,18.95,-18.95
12454,0.38528075376385135,18.950000000000003,18.950000000000003
12454,0.7131799471520351,22.25,-22.25
12454,0.5683511973232889,6.850000000000001,6.850000000000001
12454,0.8271007538533255,7.65,-7.65
12454,1.1305408157909813,18.05,-18.05
11862,1.2487890782842803,24.849999999999998,24.849999999999998
11862,1.1490746142407222,16.1,16.1
11862,0.08211063599081489,0.2999999999999998,0.2999999999999998
11862,0.26712998983156705,28.5,28.5
11862,0.10586040041759572,11.7,11.7
11862,0.530731503611711,5.8999999999999995,-5.8999999999999995
11862,0.9274499643263887,13.0,13.0
11862,1.1517706871094984,21.3,21.3
11862,0.9070117558570536,12.600000000000001,12.600000000000001
11862,0.9622233997526259,26.2,26.2
11862,1.2095780507815972,1.4,1.4
11862,1.0761538957635641,14.7,14.7
11862,1.1076096924005263,15.3,15.3
11862,0.8656532336523548,1.6999999999999997,1.6999999999999997
11862,1.163047837000648,20.3,20.3
11862,0.644294592479921,19.3,19.3
11862,0.7080678371374456,12.2,12.2
11862,0.7544759182698979,69.0,69.0
11862,0.8553795227023752,70.0,70.0
11862,0.846162433300258,10.5,10.5
1005,1.030527236659166,2.1000000000000014,-2.1000000000000014
1005,1.214130707277053,16.0,-16.0
1005,0.877609603254989,19.7,19.7
1005,0.7660889283525149,4.699999999999999,4.699999999999999
1005,1.1086723183475635,21.0,21.0
1005,0.30673952051201203,1.799999999999999,1.799999999999999
1005,0.7856399385037713,0.3999999999999986,0.3999999999999986
1005,0.4034657708333199,18.099999999999998,18.099999999999998
1005,0.7909413607675303,1.299999999999999,1.299999999999999
1005,0.3022742771098419,19.1,-19.1
1005,0.583559323785052,2.5,-2.5
1005,0.5538662174495751,6.099999999999998,6.099999999999998
1005,0.38942784090110977,14.100000000000001,-14.100000000000001
1005,1.0940225023740253,15.399999999999999,15.399999999999999
1005,0.6329074064428115,4.699999999999999,4.699999999999999
1005,1.08245083837953,2.6000000000000014,-2.6000000000000014
6886,0.4624911954304074,2.599999999999998,-2.599999999999998
6886,1.137618154852671,29.8,29.8
6886,1.0547092700967744,41.8,41.8
6886,0.826642576493318,17.900000000000002,17.900000000000002
6886,0.9390535868273254,14.400000000000002,14.400000000000002
6886,1.0882067111927012,10.599999999999998,10.599999999999998
6886,0.8322862520645496,22.900000000000002,22.900000000000002
6886,0.08616203977996405,18.2,-18.2
6886,0.3573033035968825,11.5,-11.5
6886,0.09860525099743728,29.2,29.2
6886,0.80492858222911,14.3,14.3
6886,1.0207844408109086,73.8,73.8
6886,0.6783028756130022,60.8,60.8
6886,0.6721351399304973,65.6,65.6
6886,1.1163114995626615,63.89999999999999,63.89999999999999
6886,0.5351705985976414,47.3,47.3
6886,0.6811416084345795,69.7,69.7
6886,1.1045072417669881,15.3,15.3
6886,1.1769322264664688,64.0,64.0
6886,0.7030339212459735,62.5,62.5
6886,1.1012562247200794,11.7,11.7
6886,0.5749375976812187,79.7,79.7
6886,0.910438592440598,2.099999999999998,-2.099999999999998
6886,0.7910742284117962,11.599999999999998,11.599999999999998
6886,0.8124416456054002,16.900000000000002,16.900000000000002
6886,1.0702923407484506,36.8,36.8
6886,0.39141099812244917,5.800000000000001,5.800000000000001
9173,1.2100087113461508,20.5,-20.5
9173,0.6662575251438728,59.599999999999994,-59.599999999999994
9173,0.9728642777943128,2.3999999999999986,2.3999999999999986
9173,0.8239329051600948,17.5,-17.5
9173,1.073130962310207,14.099999999999998,14.099999999999998
9173,0.8342140961896108,17.1,-17.1
9173,1.027519779223769,25.0,-25.0
9173,0.6354312878316254,6.5,-6.5
9173,0.3340444567969913,4.4,-4.4
9173,0.5524563574785698,0.3000000000000007,-0.3000000000000007
9173,0.16526382876122736,11.100000000000001,-11.100000000000001
9173,0.21903986210674853,7.200000000000001,-7.200000000000001
9173,0.46231352136562887,15.599999999999998,15.599999999999998
9173,1.1768542625901115,5.6000000000000005,-5.6000000000000005
9173,1.0532925638577342,6.700000000000001,-6.700000000000001
9173,0.48885166759915705,13.600000000000001,-13.600000000000001
9173,0.6228939043848642,10.5,-10.5
9173,0.19073513580570967,5.399999999999999,5.399999999999999
9173,1.0752013567430334,54.900000000000006,-54.900000000000006
18077,0.88291989472025,13.15,-13.15
18077,1.1353260805677696,27.2,27.2
18077,0.3997086651725006,24.55,-24.55
18077,0.9109170492815488,32.699999999999996,32.699999999999996
18077,0.17693024850409278,4.050000000000001,-4.050000000000001
18077,0.9123819877539388,12.600000000000001,-12.600000000000001
18077,1.026614489522824,5.4,-5.4
18077,0.40842304966359644,1.75,1.75
18077,0.6820956001500367,5.050000000000001,-5.050000000000001
18077,0.7902687691798564,5.449999999999999,-5.449999999999999
18077,1.1419984553098939,6.350000000000001,6.350000000000001
18077,1.1624201860510504,4.850000000000001,4.850000000000001
18077,1.0568354117563037,3.8499999999999996,-3.8499999999999996
18077,0.9949229121012455,13.75,-13.75
18077,1.1710598589831487,3.8500000000000014,3.8500000000000014
