idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index
49,5278,227.462,0.722,0.463,39.829,1.1515883824643,5,3,8,12.419999999999998,11.266666666666666,9.0,9.95,20.60814,4.818449999999999,-0.04869124683365961,-0.6209912536442905,-0.24899624921738042
51,825,116.284,33.865,0.533,61.25,1.5383591797339569,3,9,12,3.533333333333333,8.044444444444444,3.6999999999999993,5.599999999999998,2.5204199999999988,7.264740000000002,0.3896353166986228,0.4848484848484356,0.42295992555105727
53,17574,207.941,28.323,0.454,26.026,0.7674152690556838,3,5,8,10.166666666666666,18.04,8.299999999999999,12.6,2.965199999999997,20.60814,0.2791302292602123,0.7484276729559435,0.4433843345537182
55,15558,142.483,11.586,0.464,60.952,1.7585262008949976,5,11,16,11.540000000000001,21.181818181818183,12.7,16.9,20.7564,17.34642,0.2946602211479601,-0.0894941634241222,0.16020618654773128
58,12374,225.297,6.349,0.517,59.983,1.5531610940785339,4,9,13,14.675,11.200000000000001,15.15,6.9,8.8956,12.30558,-0.13429951690820738,0.1608391608391533,-0.03100097969663114
60,4403,242.153,19.984,0.489,51.274,1.4036770630285835,3,6,9,11.300000000000002,20.966666666666665,11.099999999999998,22.15,3.2617199999999933,7.04235,0.2995867768594947,0.3669064748201092,0.3231486711457098
61,9778,159.312,34.103,0.586,65.572,1.497958140981083,4,12,16,12.625,10.416666666666666,8.850000000000001,7.549999999999999,13.121010000000002,13.26927,-0.0958408679927626,0.0056179775280896255,-0.060330272060464325
63,4457,226.458,19.415,0.537,61.399,1.530614684524505,3,8,11,12.083333333333334,13.175,15.649999999999999,8.5,0.2965200000000042,1.186080000000001,0.04322005938633944,0.599999999999591,0.23809303860097747
67,12573,202.708,6.481,0.469,55.642,1.5882130221723127,3,6,9,25.799999999999997,14.216666666666669,16.3,14.45,38.99238,19.79271,-0.28946272386504884,-0.3266078184110915,-0.30246350695616375
70,15033,177.622,13.683,0.503,58.728,1.5629896040784723,7,5,12,17.821428571428573,16.41,23.05,11.95,4.596060000000002,14.232959999999997,-0.041231950588430516,0.5118110236220198,0.15233309038522708
71,14779,184.296,7.955,0.503,55.452,1.4758019943699674,3,6,9,9.45,10.950000000000001,7.85,6.65,15.122520000000002,9.85929,0.07352941176470237,-0.210682492581594,-0.025944754756501348
74,2629,163.369,-0.928,0.488,39.254,1.0768196189896457,3,6,9,12.15,17.616666666666664,13.25,16.15,11.26776,6.30105,0.1836506159014495,-0.28270042194091227,0.020427752656622875
76,8793,137.445,39.999,0.464,63.756,1.8394244071443344,4,24,28,9.8,9.983333333333333,9.350000000000001,10.75,8.673210000000001,10.822980000000001,0.009267059814658259,0.11026615969581184,0.04461674477306201
78,16640,135.877,48.592,0.455,35.594,1.047235275746458,3,7,10,21.133333333333336,7.614285714285714,18.0,6.0,35.878919999999994,4.744319999999999,-0.47026668875267547,-0.7664233576642147,-0.5739215228717142
80,6592,252.685,22.767,0.639,90.445,1.8947964759703138,5,9,14,37.760000000000005,36.08888888888889,29.2,36.8,34.69284,42.698879999999996,-0.022628791526239537,0.10344827586206763,0.02149818205966797
82,11120,148.954,3.777,0.549,62.812,1.5316133423453546,3,6,9,22.333333333333332,13.816666666666665,26.299999999999997,15.35,4.596060000000002,3.854759999999998,-0.2355924389119345,-0.08771929824560416,-0.1838368396787189
85,22068,201.862,42.563,0.493,67.133,1.8229216346854824,3,16,19,20.333333333333332,11.399999999999999,11.1,7.949999999999999,4.4478,10.45233,-0.281512605042008,0.4029850746268386,-0.04193841715791169
89,14029,133.266,27.948,0.581,63.583,1.4650206495328364,4,9,13,6.725,11.211111111111112,5.2,4.800000000000001,7.7095199999999995,8.006040000000002,0.25011615301222095,0.018867924528300863,0.16917927304284894
95,1303,138.03,0.668,0.629,68.053,1.4483565677621322,3,5,8,15.566666666666665,13.080000000000002,21.299999999999997,13.0,0.2965200000000042,11.564279999999998,-0.08680474749825143,0.9499999999999191,0.27607691412610824
98,22164,202.995,49.504,0.54,75.776,1.8785241382759281,8,13,21,10.512500000000001,11.023076923076921,3.8000000000000003,10.8,5.337359999999999,12.30558,0.023708532392729933,0.39495798319325504,0.1536458401729137
99,8608,119.234,18.416,0.458,48.369,1.4137756393443042,3,4,7,9.666666666666666,8.925,6.700000000000001,4.749999999999998,9.192120000000001,6.597569999999998,-0.039892424921557625,-0.16431924882628082,-0.08344181328821074
100,11043,157.531,6.621,0.482,80.25,2.228829597241273,4,23,27,21.249999999999996,14.915217391304346,20.45,13.499999999999998,10.822980000000001,15.27078,-0.17516229862947338,0.17045454545453886,-0.0541964032000691
104,17643,218.915,25.226,0.462,56.555,1.6387318497200158,3,14,17,23.866666666666664,19.2,23.2,20.7,35.878919999999994,14.603610000000002,-0.10835913312693242,-0.4214390602055715,-0.21793710760445606
