RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
121.258874913712,0.878285181960465,0.5078287,SDSS,121,0,105
121.255703922903,0.976982298188271,0.7884589,SDSS,121,0,105
121.23313588105,0.860839295424521,0.3638937,SDSS,121,0,105
121.351702433748,0.960593447980845,0.5806745,SDSS,121,0,105
121.118079950618,0.891694394847758,0.3512623,SDSS,121,0,105
120.924659763941,0.927919236649781,0.3415018,SDSS,120,0,100
121.061604737861,1.00643834558467,0.09642675,SDSS,121,1,17
121.021991770763,0.952749740428116,0.4871431,SDSS,121,0,105
120.807974861991,0.942914565296128,0.5797259,SDSS,120,0,100
120.820561831586,0.907650886869945,0.5125207,SDSS,120,0,100
120.714473116375,0.904127589453573,0.5275692,SDSS,120,0,100
120.496048105077,0.888197450299963,0.5154608,SDSS,120,0,100
120.438978051593,0.96276323644716,0.5157498,SDSS,120,0,100
119.554267199424,0.890822769707441,0.4131401,SDSS,119,0,55
119.52094862225,0.853258154588575,0.4120708,SDSS,119,0,55
119.491278394296,0.959100057143646,0.3968316,SDSS,119,0,55
119.488509447166,0.930346750958672,0.6799743,SDSS,119,0,55
121.327733289571,0.573744678130287,0.1977102,SDSS,121,0,105
121.295086900625,0.424422084555581,0.4363137,SDSS,121,0,105
121.266354335309,0.588564355762564,0.4949013,SDSS,121,0,105
121.257599736847,0.5517158926636,0.3586466,SDSS,121,0,105
121.079295347182,0.580191923069418,0.55473,SDSS,121,0,105
121.086776190251,0.520011481939931,0.3584506,SDSS,121,0,105
120.996097554253,0.546964383222559,0.3594408,SDSS,120,0,100
120.958295832564,0.531063535647997,0.5998042,SDSS,120,0,100
121.011055679755,0.517471037162515,0.357287,SDSS,121,0,105
120.938445864588,0.483417903819826,0.3579431,SDSS,120,0,100
120.838191747775,0.50626009024493,0.6083471,SDSS,120,0,100
120.902282294302,0.495115842122981,0.5028002,SDSS,120,0,100
120.862269096453,0.469475934580761,0.3581855,SDSS,120,0,100
120.788847914967,0.439147280562677,0.3096963,SDSS,120,0,100
120.804562810319,0.494229119840546,0.2199509,SDSS,120,0,100
120.785531698178,0.514851534672715,0.3580304,SDSS,120,0,100
120.905096610494,0.529056788843353,0.09134324,SDSS,120,0,100
120.756909227274,0.585627219418022,0.1148564,SDSS,120,0,100
120.557033726631,0.545418422070101,0.5720813,SDSS,120,0,100
120.483187540055,0.551763852700357,0.4205185,SDSS,120,0,100
120.518073644459,0.453748005205993,0.09391728,SDSS,120,0,100
120.412842632208,0.453742766304562,0.5268081,SDSS,120,0,100
120.34176920597,0.532225148608204,0.5520955,SDSS,120,0,100
120.330981651125,0.482313449160366,0.3481319,SDSS,120,0,100
120.402007149603,0.525899166060336,0.09378362,SDSS,120,0,100
120.189575396392,0.45263658968969,0.2883581,SDSS,120,0,100
120.245380944706,0.566967152297133,0.3620057,SDSS,120,0,100
120.118579653151,0.508960342106216,0.5238079,SDSS,120,0,100
120.034082333697,0.500733268252037,0.4611808,SDSS,120,0,100
